(4, 75, 123)
(4, 75, 127)
(4, 75, 134)
(4, 75, 147)
(4, 75, 150)
(4, 123, 145)
(5, 7, 75)
(5, 12, 75)
(5, 13, 70)
(5, 15, 20)
(5, 20, 26)
(5, 20, 31)
(5, 20, 119)
(5, 20, 130)
(5, 22, 48)
(5, 26, 118)
(5, 30, 69)
(5, 34, 56)
(5, 40, 152)
(5, 46, 48)
(5, 48, 58)
(5, 48, 59)
(5, 48, 89)
(5, 48, 94)
(5, 48, 114)
(5, 48, 120)
(5, 48, 128)
(5, 48, 141)
(5, 48, 147)
(5, 53, 70)
(5, 54, 61)
(5, 54, 123)
(5, 56, 75)
(5, 56, 123)
(5, 68, 70)
(5, 70, 85)
(5, 70, 131)
(5, 75, 97)
(5, 75, 120)
(5, 75, 127)
(5, 75, 150)
(5, 123, 145)
(6, 12, 75)
(6, 13, 70)
(6, 15, 20)
(6, 15, 70)
(6, 20, 26)
(6, 20, 119)
(6, 20, 130)
(6, 20, 131)
(6, 21, 32)
(6, 29, 76)
(6, 31, 70)
(6, 34, 56)
(6, 38, 70)
(6, 40, 152)
(6, 42, 70)
(6, 45, 70)
(6, 51, 105)
(6, 53, 70)
(6, 53, 85)
(6, 53, 85)
(6, 53, 131)
(6, 57, 70)
(6, 68, 70)
(6, 70, 85)
(6, 70, 109)
(6, 70, 131)
(6, 70, 158)
(6, 76, 155)
(7, 12, 75)
(7, 13, 70)
(7, 15, 20)
(7, 20, 26)
(7, 20, 130)
(7, 22, 48)
(7, 30, 69)
(7, 30, 80)
(7, 33, 75)
(7, 34, 56)
(7, 34, 75)
(7, 40, 152)
(7, 41, 56)
(7, 44, 120)
(7, 46, 75)
(7, 48, 56)
(7, 48, 59)
(7, 52, 70)
(7, 52, 75)
(7, 53, 70)
(7, 54, 75)
(7, 56, 75)
(7, 56, 123)
(7, 59, 75)
(7, 68, 70)
(7, 70, 85)
(7, 70, 131)
(7, 73, 75)
(7, 75, 79)
(7, 75, 94)
(7, 75, 100)
(7, 75, 106)
(7, 75, 108)
(7, 75, 112)
(7, 75, 114)
(7, 75, 122)
(7, 75, 141)
(7, 75, 147)
(7, 79, 123)
(7, 106, 123)
(7, 108, 123)
(7, 123, 127)
(7, 123, 141)
(7, 123, 147)
(8, 12, 75)
(8, 13, 70)
(8, 15, 20)
(8, 20, 26)
(8, 20, 101)
(8, 20, 130)
(8, 20, 151)
(8, 30, 80)
(8, 34, 56)
(8, 40, 152)
(8, 53, 70)
(8, 55, 70)
(8, 68, 70)
(8, 70, 73)
(8, 70, 85)
(8, 70, 89)
(8, 70, 108)
(8, 70, 131)
(8, 70, 141)
(9, 13, 70)
(9, 15, 20)
(9, 20, 26)
(9, 22, 48)
(9, 22, 98)
(9, 26, 118)
(9, 27, 51)
(9, 30, 51)
(9, 32, 123)
(9, 32, 126)
(9, 34, 56)
(9, 35, 51)
(9, 46, 98)
(9, 48, 56)
(9, 48, 59)
(9, 48, 98)
(9, 51, 80)
(9, 51, 124)
(9, 51, 149)
(9, 59, 98)
(9, 68, 70)
(9, 70, 85)
(9, 70, 131)
(9, 73, 98)
(9, 74, 118)
(9, 92, 114)
(9, 94, 103)
(9, 98, 141)
(9, 98, 156)
(10, 12, 75)
(10, 13, 70)
(10, 20, 26)
(10, 20, 130)
(10, 20, 147)
(10, 21, 32)
(10, 30, 69)
(10, 30, 80)
(10, 30, 95)
(10, 30, 155)
(10, 34, 56)
(10, 36, 75)
(10, 40, 152)
(10, 48, 56)
(10, 53, 70)
(10, 56, 75)
(10, 60, 75)
(10, 68, 70)
(10, 70, 85)
(10, 70, 131)
(10, 73, 75)
(10, 75, 108)
(10, 75, 127)
(10, 75, 141)
(10, 75, 147)
(10, 75, 153)
(11, 12, 75)
(11, 13, 70)
(11, 13, 123)
(11, 15, 20)
(11, 17, 80)
(11, 17, 137)
(11, 20, 26)
(11, 20, 101)
(11, 20, 130)
(11, 20, 154)
(11, 21, 32)
(11, 30, 37)
(11, 30, 80)
(11, 31, 70)
(11, 34, 56)
(11, 40, 152)
(11, 53, 70)
(11, 53, 85)
(11, 53, 131)
(11, 70, 85)
(11, 70, 108)
(11, 70, 131)
(11, 70, 141)
(11, 70, 147)
(11, 123, 152)
(11, 123, 156)
(11, 152, 155)
(12, 13, 70)
(12, 13, 75)
(12, 15, 20)
(12, 15, 75)
(12, 17, 75)
(12, 18, 75)
(12, 19, 75)
(12, 20, 26)
(12, 20, 75)
(12, 20, 130)
(12, 22, 75)
(12, 23, 75)
(12, 26, 75)
(12, 30, 69)
(12, 31, 75)
(12, 33, 75)
(12, 34, 56)
(12, 34, 75)
(12, 36, 75)
(12, 40, 75)
(12, 40, 152)
(12, 41, 56)
(12, 41, 75)
(12, 42, 75)
(12, 43, 75)
(12, 43, 127)
(12, 45, 75)
(12, 46, 75)
(12, 47, 75)
(12, 48, 56)
(12, 48, 59)
(12, 48, 75)
(12, 49, 75)
(12, 52, 75)
(12, 53, 70)
(12, 53, 75)
(12, 53, 158)
(12, 54, 75)
(12, 55, 127)
(12, 56, 75)
(12, 56, 127)
(12, 58, 75)
(12, 59, 75)
(12, 59, 127)
(12, 60, 75)
(12, 61, 75)
(12, 63, 75)
(12, 68, 70)
(12, 68, 75)
(12, 70, 75)
(12, 70, 85)
